Grant,"Organization Name","Focus Area",Amount,Date
"Eurogroup for Animals — Fish Welfare (2024)","Eurogroup for Animals","Farm Animal Welfare","$1,736,622","October 2023"
"Clinton Health Access Initiative — Scoping Grant for Sickle Cell Disease Market Shaping","Clinton Health Access Initiative","Global Health R&D","$204,332","October 2023"
"Shrimp Welfare Project — General Support (2023)","Shrimp Welfare Project","Farm Animal Welfare","$2,000,000","November 2023"
"Farmed Animal Funders — Fundraising Efforts","Farmed Animal Funders","Farm Animal Welfare","$100,000","November 2023"
"Vereniging Green Protein Alliance — Plant Protein Advocacy","Vereniging Green Protein Alliance","Farm Animal Welfare","$306,640","December 2023"
"The Governors of the University of Calgary — Pork Immunocastration Research","The Governors of the University of Calgary","Farm Animal Welfare","$107,074","December 2023"
"Aquatic Life Institute — General Support (2023)","Aquatic Life Institute","Fish Welfare","$550,000","December 2023"
"Greater Greater Washington — Housing and Land Use Reform (2023)","Greater Greater Washington","Land Use Reform","$400,000","October 2023"
"Desegregate CT — Exit Grant","Desegregate CT","Land Use Reform","$174,999","October 2023"
"GiveWell — General Support (2023)",GiveWell,"Global Health & Development","$1,733,862","December 2023"
"Korean Advocates for Global Health — Aid Policy Advocacy","Korean Advocates for Global Health","Global Aid Policy","$510,000","December 2023"
"University of Oxford — Monoclonal Antibody Development for Malaria","University of Oxford","Global Health R&D","$300,000","November 2023"
"People for Animals Uttarakhand — Farm Animal Welfare in India (2023)","People for Animals Uttarakhand","Farm Animal Welfare","$204,400","June 2023"
"SJS Inc. — Market Shaping for Alternative Proteins","SJS Inc.","Alternatives to Animal Products","$300,000","June 2023"
"International Vaccine Institute — Hepatitis E Vaccine Trial (2023)","International Vaccine Institute","Scientific Research","$3,500,000","October 2023"
"University of Helsinki — Travel Funding for Air Pollution Research (2023)","University of Helsinki","South Asian Air Quality","$109,000","October 2023"
"Columbia University — Regulatory Affairs Position","Columbia University","Global Health & Wellbeing","$138,600","June 2023"
"Princeton University — Transgenic Mice for Hepatitis B Research","Princeton University","Human Health and Wellbeing","$220,000","October 2023"
"Princeton University — Research on Hepatitis B Variant","Princeton University","Human Health and Wellbeing","$330,000","October 2023"
"Should We Studio — Video Production (2023)","Should We Studio","Global Catastrophic Risks Capacity Building","$245,000","October 2023"
"Owain Evans Research Group — AI Evaluations Research","Effective Ventures Foundation USA","Potential Risks from Advanced AI","$838,620","May 2023"
"International Vaccine Institute — Strep A Vaccine Global Consortium","International Vaccine Institute","Global Health & Wellbeing","$3,600,492","June 2023"
"Economic Innovation Group — High-Skilled Immigration Research and Advocacy","Economic Innovation Group","Innovation Policy","$1,223,935","April 2023"
"Washington University in St. Louis — Research on Cryptosporidium Hominis (2023)","Washington University in St. Louis","Human Health and Wellbeing","$1,200,000","June 2023"
"World Animal Protection — Farm Animal Welfare in Kenya","World Animal Protection","Farm Animal Welfare","$138,000","June 2023"
"Effective Altruism Germany — ML4Good Bootcamp","Effective Altruism Germany","Global Catastrophic Risks Capacity Building","$40,377","June 2023"
"Global Rice Research Foundation — Food Security Fellowships","Global Rice Research Foundation","Scientific Research","$24,750","October 2023"
"Humane Society International India — Exit Grant","Humane Society International India","Farm Animal Welfare","$60,000","July 2023"
"F.R.E.E. — Broiler and Cage-Free Reforms in Romania","Freedom and Respect for Every Earthling (F.R.E.E.)","Farm Animal Welfare","$193,000","April 2023"
"The International Union Against Tuberculosis and Lung Disease — Conference Scholarships","International Union Against Tuberculosis and Lung Disease","Global Health R&D","$50,000","October 2023"
"Exscientia — Agonists for Interferon Lambda",Exscientia,"Biosecurity & Pandemic Preparedness","$2,300,000","September 2023"
"Stockholm Environment Institute — Farm Animal Welfare Sustainability Reports","Stockholm Environment Institute","Farm Animal Welfare","$120,000","October 2023"
"Center for Global Development — USAID Staff Placement","Center for Global Development","Global Aid Policy","$107,000","July 2023"
"Australian Alliance for Animals — Farm Animal Welfare Advocacy","Australian Alliance for Animals","Farm Animal Welfare","$150,000","October 2023"
"National Bureau of Economic Research — Innovation Policy Working Group (2023)","National Bureau of Economic Research","Innovation Policy","$214,775","June 2023"
"Convergent Research — Biosecurity Projects ","Convergent Research","Biosecurity & Pandemic Preparedness","$400,000","October 2023"
"AI Safety Support — AI Safety Technical Program (May 2023)","AI Safety Support","Potential Risks from Advanced AI","$146,165","May 2023"
"Conjecture — AI Safety Technical Program",Conjecture,"Potential Risks from Advanced AI","$223,569","May 2023"
"Madre Brava — Corporate Commitments for Alternative Proteins","Madre Brava","Alternatives to Animal Products","$300,000","June 2023"
"BlueDot Impact — General Support (July 2023)","BlueDot Impact","Global Catastrophic Risks Capacity Building","$1,542,364","July 2023"
"BlueDot Impact — General Support (2023)","BlueDot Impact","Global Catastrophic Risks Capacity Building","$388,890","June 2023"
"Centre for Effective Altruism — General Support (EVF, June 2023)","Centre for Effective Altruism","Global Catastrophic Risks Capacity Building","$11,000,000","June 2023"
"1Day Sooner — General Support (2023)","1Day Sooner","Global Health & Wellbeing","$1,000,000","October 2023"
"Cambridge Boston Alignment Initiative — AI Research and Governance Workshop","Cambridge Boston Alignment Initiative","Global Catastrophic Risks Capacity Building","$38,220","August 2023"
"Foundation for American Innovation — AI Safety Policy Advocacy","Foundation for American Innovation","Potential Risks from Advanced AI","$552,500","June 2023"
"Effective Altruism Switzerland — Zurich Coworking Space","Effective Altruism Switzerland","Global Catastrophic Risks Capacity Building","$101,426","June 2023"
"Berkeley Existential Risk Initiative — University Collaboration Program","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$70,000","October 2023"
"Wisdom Good Works — Rodenticide Alternative","Wisdom Good Works","Farm Animal Welfare","$702,600","June 2023"
"Legal Priorities Project — General Support","Legal Priorities Project","Global Catastrophic Risks","$170,000","June 2023"
"Condor Camp — Summer Program for Brazilian Students","Condor Camp","Global Catastrophic Risks Capacity Building","$301,197","June 2023"
"University of Southern California — Linezolid Trial for Syphilis","University of Southern California","Human Health and Wellbeing","$160,000","October 2023"
"The University of Reading — Farm Animal Welfare Research","University of Reading","Farm Animal Welfare","$26,983","October 2023"
"Swiss AI Safety Summer Camp — AI Safety Bootcamp","Swiss AI Safety Summer Camp","Potential Risks from Advanced AI","$51,248","August 2023"
"Evidence Action — Iron and Folic Acid Supplementation in India","Evidence Action","GiveWell-Recommended Charities","$9,185,495","September 2022"
"Effective Altruism Canada — Toronto Coworking Space ","Effective Altruism Canada","Global Catastrophic Risks Capacity Building","$135,378","August 2023"
"Open New York — General Support (2023)","Open New York","Land Use Reform","$2,000,000","July 2023"
"AI Impacts — General Support (2023)","AI Impacts","Potential Risks from Advanced AI","$620,000","August 2023"
"EffiSciences — Existential Risk Programs (2023)",Effisciences,"Global Catastrophic Risks Capacity Building","$205,000","July 2023"
"Stanford University — Language Model Evaluations","Stanford University","Potential Risks from Advanced AI","$250,000","April 2023"
"The European Consumer Organisation — EU Farm Animal Welfare Advocacy","European Consumer Organisation","Farm Animal Welfare","$215,000","July 2023"
"European Environmental Bureau — EU Farm Animal Welfare Advocacy","European Environmental Bureau","Farm Animal Welfare","$321,699","August 2023"
"Compassion in World Farming — Farm Animal Welfare Advocacy","Compassion in World Farming","Farm Animal Welfare","$758,953","August 2023"
"Animal Alliance Asia — Farm Animal Welfare Movement Building","Animal Alliance Asia","Farm Animal Welfare","$164,000","August 2023"
"University of Pennsylvania — AI Governance Roundtables","University of Pennsylvania","Potential Risks from Advanced AI","$110,000","September 2023"
"Asia for Animals Coalition — Farm Animal Welfare Movement Building in Asia","Asia for Animals Coalition","Farm Animal Welfare","$250,000","August 2023"
"Animal Kingdom Foundation — Farm Animal Welfare in the Philippines","Animal Kingdom Foundation","Farm Animal Welfare","$374,800","July 2023"
"Animal Outlook — Investigations Training","Animal Outlook","Farm Animal Welfare","$50,000","August 2023"
"University of Washington — Tuberculosis Research","University of Washington","Transformative Basic Science","$1,425,475","August 2023"
"Animal Charity Evaluators — Impact Consultant ","Animal Charity Evaluators","Farm Animal Welfare","$20,000","August 2023"
"Berkeley Existential Risk Initiative — Scalable Oversight Dataset","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$70,000","September 2023"
"Guide Labs — Open Access Interpretability Project","Guide Labs","Potential Risks from Advanced AI","$750,000","August 2023"
"Stiftelsen Impact Academy — Future Academy Program","Stiftelsen Impact Academy","Global Catastrophic Risks Capacity Building","$62,000","May 2023"
"Magnify Mentoring — General Support","Magnify Mentoring","Effective Altruism (Global Health and Wellbeing)","$320,000","September 2023"
"FAI Farms — Aquaculture Welfare Reforms","FAI Farms","Farm Animal Welfare","$1,919,600","August 2023"
"AURA — YIMBYTown (2024)",AURA,"Land Use Reform","$75,000","September 2023"
"Humane Society International — Farm Animal Welfare in Southeast Asia","Humane Society International","Farm Animal Welfare","$887,300","September 2023"
"University of Maryland — Policy Fellowship (September 2023)","University of Maryland","Biosecurity & Pandemic Preparedness","$286,000","September 2023"
